slug,intro,history,architecture,ktitor_text,art_frescoes,interesting_facts,sources_json
kasteljan,Manastir Kasteljan je značajna pravoslavna svetinja i duhovno mesto u oblasti Kosmaj.,"Istorijat Manastir Kasteljan obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Kasteljan prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Kasteljan čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Kasteljan obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Kasteljan predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
cokesina,Manastir Čokešina je značajna pravoslavna svetinja i duhovno mesto u oblasti Mačva.,"Istorijat Manastir Čokešina obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Čokešina prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Čokešina čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Čokešina obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Čokešina predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
tronosa,Manastir Tronoša je značajna pravoslavna svetinja i duhovno mesto u oblasti Podrinje.,"Istorijat Manastir Tronoša obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Tronoša prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Tronoša čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Tronoša obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Tronoša predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
kaona,Manastir Kaona je značajna pravoslavna svetinja i duhovno mesto u oblasti Mačva.,"Istorijat Manastir Kaona obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Kaona prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Kaona čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Kaona obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Kaona predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
petkovica-macva,Manastir Petkovica (Mačva) je značajna pravoslavna svetinja i duhovno mesto u oblasti Mačva.,"Istorijat Manastir Petkovica (Mačva) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Petkovica (Mačva) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Petkovica (Mačva) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Petkovica (Mačva) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Petkovica (Mačva) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
bogovadja,Manastir Bogovađa je značajna pravoslavna svetinja i duhovno mesto u oblasti Kolubara.,"Istorijat Manastir Bogovađa obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Bogovađa prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Bogovađa čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Bogovađa obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Bogovađa predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
pustinja,Manastir Pustinja je značajna pravoslavna svetinja i duhovno mesto u oblasti Valjevo.,"Istorijat Manastir Pustinja obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Pustinja prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Pustinja čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Pustinja obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Pustinja predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
celije-valjevo,Manastir Ćelije (Valjevo) je značajna pravoslavna svetinja i duhovno mesto u oblasti Valjevo.,"Istorijat Manastir Ćelije (Valjevo) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Ćelije (Valjevo) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Ćelije (Valjevo) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Ćelije (Valjevo) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Ćelije (Valjevo) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
lelic,Manastir Lelić je značajna pravoslavna svetinja i duhovno mesto u oblasti Valjevo.,"Istorijat Manastir Lelić obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Lelić prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Lelić čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Lelić obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Lelić predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
gradac,Manastir Gradac je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Gradac obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Gradac prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Gradac čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Gradac obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Gradac predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
stara-pavlica,Manastir Stara Pavlica je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Stara Pavlica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Stara Pavlica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Stara Pavlica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Stara Pavlica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Stara Pavlica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
nova-pavlica,Manastir Nova Pavlica je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Nova Pavlica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Nova Pavlica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Nova Pavlica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Nova Pavlica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Nova Pavlica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
davidovica,Manastir Davidovica je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugozapadna Srbija.,"Istorijat Manastir Davidovica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Davidovica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Davidovica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Davidovica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Davidovica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
banja-priboj,Manastir Banja (Priboj) je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugozapadna Srbija.,"Istorijat Manastir Banja (Priboj) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Banja (Priboj) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Banja (Priboj) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Banja (Priboj) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Banja (Priboj) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
dubnica,Manastir Dubnica je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugozapadna Srbija.,"Istorijat Manastir Dubnica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Dubnica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Dubnica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Dubnica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Dubnica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
uvac,Manastir Uvac je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugozapadna Srbija.,"Istorijat Manastir Uvac obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Uvac prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Uvac čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Uvac obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Uvac predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
raca,Manastir Rača je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Rača obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Rača prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Rača čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Rača obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Rača predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
rujan,Manastir Rujan je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Rujan obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Rujan prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Rujan čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Rujan obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Rujan predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
dobrun,Manastir Dobrun je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Dobrun obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Dobrun prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Dobrun čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Dobrun obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Dobrun predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
vujan,Manastir Vujan je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija.,"Istorijat Manastir Vujan obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Vujan prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Vujan čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Vujan obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Vujan predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
voljavca,Manastir Voljavča je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija.,"Istorijat Manastir Voljavča obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Voljavča prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Voljavča čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Voljavča obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Voljavča predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
gracanica-kod-guce,Manastir Gračanica (kod Guče) je značajna pravoslavna svetinja i duhovno mesto u oblasti Zapadna Srbija.,"Istorijat Manastir Gračanica (kod Guče) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Gračanica (kod Guče) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Gračanica (kod Guče) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Gračanica (kod Guče) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Gračanica (kod Guče) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
nikolj-rudnik,Manastir Nikoljе (Rudnik) je značajna pravoslavna svetinja i duhovno mesto u oblasti Šumadija.,"Istorijat Manastir Nikoljе (Rudnik) obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Nikoljе (Rudnik) prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Nikoljе (Rudnik) čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Nikoljе (Rudnik) obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Nikoljе (Rudnik) predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
rukumija,Manastir Rukumija je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Rukumija obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Rukumija prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Rukumija čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Rukumija obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Rukumija predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
nimnik,Manastir Nimnik je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Nimnik obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Nimnik prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Nimnik čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Nimnik obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Nimnik predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
vitovnica,Manastir Vitovnica je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Vitovnica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Vitovnica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Vitovnica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Vitovnica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Vitovnica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sisojevac,Manastir Sisojevac je značajna pravoslavna svetinja i duhovno mesto u oblasti Pomoravlje.,"Istorijat Manastir Sisojevac obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sisojevac prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sisojevac čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sisojevac obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sisojevac predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
koporin,Manastir Koporin je značajna pravoslavna svetinja i duhovno mesto u oblasti Pomoravlje.,"Istorijat Manastir Koporin obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Koporin prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Koporin čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Koporin obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Koporin predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
pokajnica,Manastir Pokajnica je značajna pravoslavna svetinja i duhovno mesto u oblasti Pomoravlje.,"Istorijat Manastir Pokajnica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Pokajnica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Pokajnica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Pokajnica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Pokajnica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sveti-roman,Manastir Sveti Roman je značajna pravoslavna svetinja i duhovno mesto u oblasti Rasina.,"Istorijat Manastir Sveti Roman obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sveti Roman prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sveti Roman čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sveti Roman obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sveti Roman predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
djunis,Manastir Đunis je značajna pravoslavna svetinja i duhovno mesto u oblasti Nišavski okrug.,"Istorijat Manastir Đunis obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Đunis prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Đunis čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Đunis obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Đunis predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
lipovac,Manastir Lipovac je značajna pravoslavna svetinja i duhovno mesto u oblasti Pomoravlje.,"Istorijat Manastir Lipovac obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Lipovac prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Lipovac čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Lipovac obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Lipovac predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
crna-reka,Manastir Crna Reka je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Crna Reka obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Crna Reka prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Crna Reka čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Crna Reka obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Crna Reka predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
pridvorica,Manastir Pridvorica je značajna pravoslavna svetinja i duhovno mesto u oblasti Raška.,"Istorijat Manastir Pridvorica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Pridvorica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Pridvorica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Pridvorica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Pridvorica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
poganovo,Manastir Poganovo je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugoistočna Srbija.,"Istorijat Manastir Poganovo obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Poganovo prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Poganovo čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Poganovo obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Poganovo predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sukovo,Manastir Sukovo je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugoistočna Srbija.,"Istorijat Manastir Sukovo obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sukovo prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sukovo čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sukovo obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sukovo predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
temska,Manastir Temska je značajna pravoslavna svetinja i duhovno mesto u oblasti Jugoistočna Srbija.,"Istorijat Manastir Temska obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Temska prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Temska čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Temska obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Temska predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
prohor-pcinjski,Manastir Prohor Pčinjski je značajna pravoslavna svetinja i duhovno mesto u oblasti Južna Srbija.,"Istorijat Manastir Prohor Pčinjski obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Prohor Pčinjski prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Prohor Pčinjski čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Prohor Pčinjski obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Prohor Pčinjski predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
sveta-petka-iverica,Manastir Sveta Petka Iverica je značajna pravoslavna svetinja i duhovno mesto u oblasti Beograd.,"Istorijat Manastir Sveta Petka Iverica obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Sveta Petka Iverica prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Sveta Petka Iverica čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Sveta Petka Iverica obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Sveta Petka Iverica predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
bukovo,Manastir Bukovo je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Bukovo obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Bukovo prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Bukovo čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Bukovo obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Bukovo predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
vratna,Manastir Vratna je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Vratna obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Vratna prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Vratna čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Vratna obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Vratna predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
suvodol,Manastir Suvodol je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Suvodol obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Suvodol prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Suvodol čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Suvodol obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Suvodol predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
siga,Manastir Siga je značajna pravoslavna svetinja i duhovno mesto u oblasti Istočna Srbija.,"Istorijat Manastir Siga obuhvata vreme nastanka, obnove i očuvanja crkvenog života kroz različite epohe.",Arhitektura Manastir Siga prati tradiciju srpske sakralne gradnje i kasnije obnove.,Ktitornu tradiciju Manastir Siga čine zadužbinari i dobročinitelji povezani sa istorijom kraja.,"Umetnička baština Manastir Siga obuhvata ikone, freske ili liturgijske predmete.",Danas Manastir Siga predstavlja mesto hodočašća i kulturnog sećanja.,"[{""title"": ""SPC / opšti izvor"", ""url"": ""https://spc.rs""}]"
